	commit_id	author	timestamp	modified_files	Broken_files
0	75668280	['Andrew Johnson']	20/09/13 13:03	['citizen.js', 'rich.pptx', 'name.webm', 'along.xlsx', 'agency.xlsx']	[]
1	23302525	['Brooke Jordan']	20/09/13 13:20	['argue.webm', 'rich.pptx', 'along.xlsx', 'five.mp3', 'moment.tiff', 'agency.xlsx']	[]
2	28858829	['Brooke Jordan']	20/09/13 13:21	['citizen.js', 'name.webm', 'moment.tiff', 'agency.xlsx']	['name.webm']
3	76859557	['Kimberly Wallace']	20/09/13 13:26	['citizen.js', 'rich.pptx', 'name.webm', 'along.xlsx', 'moment.tiff', 'agency.xlsx']	[]
4	72678374	['Kimberly Wallace']	20/09/13 13:26	['rich.pptx', 'along.xlsx', 'moment.tiff', 'agency.xlsx']	[]
5	47885776	['Brooke Jordan']	20/09/13 13:28	['save.wav', 'citizen.js', 'name.webm', 'along.xlsx', 'five.mp3', 'moment.tiff', 'agency.xlsx']	[]
6	59877356	['Brooke Jordan']	20/09/13 13:36	['argue.webm', 'name.webm', 'along.xlsx', 'moment.tiff', 'agency.xlsx']	[]
7	29474486	['Kimberly Wallace']	20/09/13 13:55	['save.wav', 'paper.csv', 'rich.pptx', 'moment.tiff', 'agency.xlsx']	[]
8	88899640	['Kimberly Wallace']	20/09/13 13:55	['save.wav', 'citizen.js', 'rich.pptx', 'name.webm', 'along.xlsx', 'moment.tiff', 'agency.xlsx']	['agency.xlsx']
9	37859152	['Brooke Jordan']	20/09/13 13:57	['argue.webm', 'save.wav', 'rich.pptx', 'name.webm', 'along.xlsx', 'moment.tiff', 'agency.xlsx']	['argue.webm', 'save.wav']
